Name,melSpectrogram,chroma,mcff,spectralcent,rolloffFreq
ZAYN-There You Are-music.mp3,a505a525ad24ada4ada7ad87ad97ad17ad17ad07ad07ed07ed06cd06cd02cb03,d5002fe3da113c0e5af1f00d25e2d141258f91706a0f95f0b5bf6b8f95f06e8f,eba2cba0cbe8e96d7fb505fd005f005f105f145c375435136882cbaacbf8cae8,807f000000000000000000000000000000000000000000000000000000000000,8000000000000000000000000000000000008000800080008000800000000000
ZAYN-Tonight-vocals.mp3,944a905ac9544b144b057dcd7c857c8f341bb45b355b4bb54bb14bab4aab6aab,8be5c374cbecd104815c89dcd11cc88c57748ef6d7314bfb7ea3340328ce750b,ffd6fed6ffd6bf547ffb260102290029002d00690068002d00a8efd6ff57ffd2,8000000000000000000000000000000000000000000000000000000000000000,8000000000000000000000000000000000000000000000000000000000000000
ZAYN-Common.mp3,95389538b2bcb1b6b126b126b1a9b1b9b988bd1ca535a534bd30bd18bd19b599,e85dc4ee07982f1167a7d72a223f23194fc2ece6d85d136e1818ecc377e21319,b999badce8fceccc4c890d27052605824747572a538345736673b0ddb8bdba9c,cd2c000000000000000000000000000000000000000000000000000000000000,8000800080000000800000000000800000000000800000008000800000008000
ZAYN-Imprint-vocals.mp3,b1f3f0f3e0f3e0f3e0f3e4f3667166716661662266266e266ea64cac48ac488c,95aa957b34a124a46a0dcb2dcb0f64a434b0b4d295fa9b5b95fa64b46ad54b2d,e2f1e0f3e6b624b619320f481d4d1f4d1f0d1f091f095d0d0f2de0f6e0f2e2f2,8000000000000000000000000000000000000000000000000000000000000000,8000000000008000800080008000800000000000000000000000000080008000
ZAYN-Tonight-music.mp3,a5b6a5b6a5b685b685b685b485b4a5b4a5b4a5b4a5b4a594a594b59535953595,c3f934823ce3433c3915cb4160ac6fee80c1bf5e831a3caae6eac35d7cd54361,c120c000c800c80579073ba73bff36fb27fb27fa27fa7ffb5b79c9dca484c004,bc0e000000000000000000000000000000000000000000000000000000000000,8000000080008000800080000000000080008000000000000000800080008000
ZAYN-Imprint.mp3,910795878587859785d78597879f871fc7068706870687868f8e8f8ecf8cdf8c,b464b44284fe84fe6c6edc6c446e05feac92be139105935993916fb06a934bed,c490c452b032843a3a181f1c47ed6bed7fcf7b8f79e57bf939be8432c6108412,daa5000000000000000000000000000000000000000000000000000000000000,8000800000008000800000000000000080008000800000000000800000008000
ZAYN-Common-music.mp3,b93ab13ab13eb13eb13ab1b8b1a0b1a4b1a0b5b0b5b0b5b4b5b0b5b0b5b0b5b4,e45ba96a3582ab40f9dbfed82a7736140fca95efc62b052e0626fac159d56a10,b939a335e56aec662ca274e74a455acd53d952db5ad84ad94566a532b834a526,d65a000000000000000000000000000000000000000000000000000000000000,8000800000008000000080000000800000008000000000008000800000000000
ZAYN-Tonight.mp3,84da85d281b681b485b4a5b5a5b5a595b597b592a597a5b525b525b127b127b5,cacdf5748da4d70ca3048bc17534e0ac95f1aacfd7193da64cfbc25928e25519,c511fd01fd02fd027f8b37cb026d02fd02fc05fc01fc00fc48f8c995ef15ff03,8000000000000000000000000000000000000000000000000000000000000000,8000000080008000800080000000000080008000000000000000800080008000
ZAYN-There You Are.mp3,a516a5908da0cba5c925cd25ad36a516a516a597ad97ed07ed03e903eb07ec97,d0b93ec3d01934924a0bc8bb35d6c8793f86c0392fc7d53435746aeba0b83fc6,f81fe80dfc05bc163dc42517057707f801fe07f817f037606eaacaaeca2cc88f,8000000000000000000000000000000000000000000000000000000000000000,8000000000000000000000000000000000000000000000000000000000000000
ZAYN-Imprint-music.mp3,850e850e8506850e851e851e859e859e859e959e959e978e978f978f978f978f,b56e907f80718071806eb57f817f80718040b000ffff7f7f7f910b800f807f9f,81018143904191081f0c1fbe0ebe7efe6aff6aff6afc72f962f38545950c9507,9fa8000000000000000000000000000000000000000000000000000000000000,8000000000008000800080000000800080008000800000008000000000008000
ZAYN-Common-vocals.mp3,873887385a9470c631e679667ac958d99d4b8d4d8e7d4e354b305b5c585970db,f8ebee7e5d1ff5c007e00e8a47201410089fe026f879321ff91fe9e027c21fd9,8bdc8b8c839c81d95e0ba25574667e03746674237e7375667c3389d583cc8b99,8d25000000000000000000000000000000000000000000000000000000000000,8000000000000000800080000000800000000000800000000000800000008000
ZAYN-There You Are-vocals.mp3,b5929792caa84aa94a6d596d1176355635d6a49424957ea97a297a497a5d34d7,f4eeecdcd051b494ebffe2ffa4bed049ee96b3826808d01014006bab93b70c3c,fa07fa07f807b407200b25d925d847f80ff807f8037a0b68017efa2ffa0bfc17,8000000000000000000000000000000000000000000000000000000000000000,8000000000000000000000000000000000000000000000000000000000000000
